name,base,address,lat,lon
北海道農業研究センター,本所,北海道札幌市豊平区羊ケ丘1番地,42.996433,141.394989
北海道農業研究センター,芽室研究拠点,北海道河西郡芽室町新生南9-4,42.890411,143.082382
東北農業研究センター,盛岡研究拠点(盛岡市),岩手県盛岡市下厨川字赤平4,39.741524,141.133148
東北農業研究センター,大仙研究拠点(大仙市) 四ツ屋地区,秋田県大仙市四ツ屋字下古道3,39.491631,140.497681
東北農業研究センター,大仙研究拠点(大仙市) 刈和野地区,秋田県大仙市刈和野字上ノ台297,39.547623,140.375748
東北農業研究センター,福島研究拠点(福島市),福島県福島市荒井字原宿南50,37.714264,140.385696
中日本農業研究センター,中日本農業研究センター(茨城県つくば市),茨城県つくば市観音台2-1-18,36.032475,140.097137
中日本農業研究センター,上越研究拠点(新潟県上越市),新潟県上越市稲田1-2-1,37.116592,138.269073
中日本農業研究センター,安濃野菜研究拠点(三重県津市),三重県津市安濃町草生360,34.772491,136.429489
西日本農業研究センター,福山研究拠点,広島県福山市西深津町6-12-1,34.501335,133.386002
西日本農業研究センター,善通寺研究拠点(仙遊地区),香川県善通寺市仙遊町1-3-1,34.230049,133.775513
西日本農業研究センター,善通寺研究拠点(生野地区),香川県善通寺市生野町2575,34.211548,133.786118
西日本農業研究センター,大田研究拠点,島根県大田市川合町吉永60,35.168468,132.501144
九州沖縄農業研究センター,合志研究拠点,熊本県合志市須屋2421,32.875481,130.742996
九州沖縄農業研究センター,筑後・久留米研究拠点(筑後),福岡県筑後市大字和泉496,33.207764,130.491074
九州沖縄農業研究センター,筑後・久留米研究拠点(久留米),福岡県久留米市御井町1823-1,33.305439,130.548828
九州沖縄農業研究センター,都城研究拠点,宮崎県都城市横市町6651-2,31.751341,131.025711
九州沖縄農業研究センター,種子島研究拠点,鹿児島県西之表市安納1742-1,30.742813,131.060013
九州沖縄農業研究センター,糸満駐在,沖縄県糸満市真壁820,26.107698,127.691353
九州沖縄農業研究センター,口之津カンキツ研究試験地,長崎県南島原市口之津町乙954,32.597233,130.176788
